Name,Category,ID
"Linguistics","Academic","73G"
"Liberal Arts","Academic","YJM"
"LGBT","Welfare","CBM"
"Leeds United Nations","General","6FC"
"Leeds Uni Boob Team","Volunteering","2TD"
"Leeds Student Radio","Media","VFG"
"Leeds Rev Open Choir","Performance","V7C"
"Leeds RAG","Volunteering","VBD"
"Leeds Prison Reform","Political","3W9"
"Leeds Oral and Maxillofacial Surgery (LOMFS)","Academic","Q7B"
"Leeds Media Students","Academic","GGJ"
"Leeds Marrow","Volunteering","6T7"
"Law","Academic","9VV"
"LAMMPS","Performance","W4H"
"Lacrosse (w)","Sports","HG6"
"Lacrosse (m)","Sports","G8V"
"Labour","Political","3GJ"
"Kurdish","Culture","DH9"
"KPOP Dance","Dance","3QW"
"Korfball","Sports","YDY"
"Korean","Culture","HWR"
"Kickboxing + Krav Maga","Martial","6FM"
"Karate","Martial","PTC"
"Judo","Martial","V9Q"
"Jiu Jitsu","Martial","FXT"
"Jewish","Faith","293"
"Jazz & Blues","Performance","CRX"
"Japanese","Culture","WYQ"
"Italian Society","Academic","872"
"Islamic","Faith","KCT"
"Irish Dancing","Dance","29V"
"Iranian","Culture","6HD"
"International Business Society","Academic","7DG"
"Indonesian","Culture","QTG"
"Indian Student Association","Culture","Y32"
"Inclusive Christian Movement","Faith","GF7"
"Ilm Society","Faith","JVJ"
"Ice Hockey","Sports","63J"
"Hungarian","Culture","X4R"
"Horse Riding","Outdoor","X4J"
"Hong Kong Public Affairs & Social Services Society","General","JPT"
"Hong Kong","Culture","T7W"
"Homed","Volunteering","X2K"
"Hockey (w)","Sports","FF8"
"Hockey (m)","Sports","X6W"
"History and Philosophy of Science","Academic","HC4"
"History","Academic","P9C"
"Historia Normannis","Academic","9MK"
"Hiking","Outdoor","GYC"
"High on Life","General","YFG"
"Her Campus","Media","WC9"
"Healthcare Students for Climate Action - HESCA","Political","7XG"
"Healthcare Innovation Team Leeds","Academic","MVQ"
"Handball","Sports","M6V"
"Gymnastics","Sports","6H6"
"Gut Soc","General","KBG"
"Guide Dogs","Volunteering","HJ3"
"Green Action","Political","K4T"
"Greek and Cypriot","Culture","84R"
"Golf","Sports","HT4"
"German","Academic","B72"
"Geography","Academic","4YF"
"Futsal","Sports","K68"
"Friends of MSF","Political","6BK"
"French","Academic","DVD"
"Freestyle Dance","Dance","PG6"
"Food Science and Nutrition","Academic","34K"
"Folk and Thackray Sage Morris","Performance","9PX"
"Film","General","948"
"Filipino","Culture","G9K"
"Fencing","Sports","PMK"
"Feminist","Political","T9K"
"Fashion","General","R3W"
"Faculty of Biological Sciences (FoBSoc)","Academic","7HK"
"Extended Reality XR","General","QCD"
"European Law Student Association (ELSA)","Academic","B9M"
"eSports and Video Games","General","H37"
"Erasmus and International Exchange","Culture","W3X"
"Environmental (EnviroSoc)","Academic","HH6"
"Entrepreneurs","General","7CV"
"English","Academic","H6J"
"Enactus Leeds","Volunteering","BV4"
"Economics Society","Academic","42Q"
"East Asian Research (EARS)","Academic","Y2R"
"East African","Culture","H8P"
"Earth Sciences (RocSoc)","Academic","63Q"
"Dodgeball","Sports","CC4"
"Disabled Student Network (DSN)","Welfare","8MY"
"DiceSoc","General","HC6"
"DentSoc","Academic","FR2"
"Debating","General","FJ4"
"Darts","Sports","M6T"
"Dancesport (Ballroom and Latin)","Dance","TQT"
"Dance Expose","Dance","B89"
"Cycling","Sports","CXF"
"Cutting Edge","Academic","PGM"
"Cryptocurrency & Blockchain","General","MXQ"
"Cross Country","Sports","3P8"
"CrimSoc (Criminal Justice)","Academic","KMY"
"Cricket (w)","Sports","TMK"
"Cricket (m)","Sports","PHF"
"Consulting","Academic","MRG"
"Conservatives","Political","MPP"
"Conservation Volunteers","Volunteering","8GW"
"CompSoc","Academic","PQ3"
"Commuters","Welfare","Q93"
"Community First Responders","Volunteering","KPC"
"Comics & Graphic Novels","General","VT6"
"Comedy Society","Performance","CXR"
"Coffee","General","3GG"
"Classics","Academic","HXJ"
"CivSoc (Civil Engineering)","Academic","F7Q"
"Christian Union","Faith","VDB"
"Chinese","Culture","QTT"
"Chess","General","KTH"
"Chemistry","Academic","TQB"
"Chemical Engineering","Academic","JCR"
"Cheerleading","Sports","FW3"
"Change Ringers","General","KYC"
"Caving","Outdoor","FW2"
"Catholic","Faith","MJ8"
"Casual Kickabout","General","HXD"
"Card Games","General","9X3"
"Canoe Club","Outdoor","CKQ"
"Business School Society (LUBS)","Academic","33H"
"Bulgarian","Culture","GXJ"
"Buddhist Meditation","Faith","HY6"
"British Red Cross","Volunteering","9G7"
"British Chinese","Culture","PM6"
"Brazilian Jiu Jitsu","Martial","BYP"
"BPM - Electronic Music and DJ Society","Performance","BGR"
"Boxing","Martial","TPG"
"Book Club","General","PX8"
"Black Feminist Society","Political","6X6"
"BioSoc","Academic","447"
"Big Open Party","Culture","P42"
"Big Band","Performance","QFW"
"Bhangra Dance Society","Dance","7FR"
"Bereaved Student Network (BSN)","Welfare","2PG"
"Bengali","Culture","7TP"
"Belly Dance Society","Dance","VKD"
"Bedside Buddies","Volunteering","QWC"
"BEAT","Volunteering","RWY"
"Basketball (w)","Sports","BT6"
"Basketball (m)","Sports","PCJ"
"Barrister (BarSoc)","Academic","4GX"
"Barbell Club","Sports","J6V"
"Band Soc","Performance","VVH"
"Ballet","Dance","D4F"
"Baking Society","General","6DK"
"Badminton","Sports","429"
"Backstage","Performance","2GC"
"Aviation","Academic","FQ8"
"Athletics","Sports","WRV"
"AstroSoc","General","7WT"
"Association Football (w)","Sports","99X"
"Association Football (m)","Sports","Q3C"
